lambda_e,eta_r,sample_type,eta50,beta50,pf50,qservice_max_beta3
0.046868725868725876,0.17362934362934362,prior,0.24815874990911405,0.8485899658662529,0.19805474615728813,495.9116924210259
0.03196138996138996,0.2741698841698842,prior,0.41088129837417886,1.1999692764988141,0.11507563640717855,546.6119510982776
0.038459459459459465,0.5111583011583012,prior,0.5753045606242119,1.5233594778758077,0.06383439709015853,597.8421094707295
0.024698841698841702,0.17362934362934362,prior,0.3994379963267839,1.176346325669744,0.11972825542874138,543.046505624386
0.014760617760617763,0.36034749034749036,prior,0.6422334268621046,1.64712569360606,0.04976610647968677,618.6954630055952
0.03578378378378379,0.17602316602316603,prior,0.3053512876818971,0.9760248115378125,0.1645260845153539,513.7314505728049
0.09273745173745175,0.48482625482625485,prior,0.48933283412083556,1.3578865868260543,0.08724983707992112,571.0554790143677
0.06865637065637066,0.2909266409266409,prior,0.31221193285208454,0.9910136667170293,0.1608394534494088,515.8690552754256
0.022023166023166025,0.4106177606177607,prior,0.5899546646735501,1.5508158493775814,0.06047291062469312,602.4067138968306
0.01284942084942085,0.4896138996138997,prior,0.7317728774364096,1.8063343421343643,0.03543306531850282,646.5937066648684
0.019729729729729733,0.39386100386100387,prior,0.601236630355549,1.5718184256804553,0.057996333538550604,605.9218910118695
0.020111969111969115,0.23586872586872587,prior,0.49711625547144267,1.373183835728979,0.08484760174633943,573.4805975956106
0.013996138996138996,0.24783783783783783,prior,0.5965885683435499,1.5631803615037725,0.05900508897148021,604.473671643508
0.05871814671814672,0.19756756756756758,prior,0.23750858756468232,0.8243545436494925,0.20486906759624007,492.5933693557174
0.04877992277992278,0.47285714285714286,prior,0.5144870902665137,1.4070918412275426,0.07970007854990985,578.8929133801006
0.04113513513513514,0.3962548262548262,prior,0.46706111699254893,1.3137530021598052,0.0944646690625977,564.1161714000137
0.03196138996138996,0.13054054054054054,prior,0.29630625438148833,0.9561679961848053,0.1694936830528902,510.9132453984093
0.04457528957528958,0.27656370656370655,prior,0.34906677776183875,1.0704844277543275,0.14220065733223702,527.3520991931878
0.05298455598455599,0.3483783783783784,prior,0.3909165110488714,1.158654047462855,0.12329861440320922,540.391424862808
0.043428571428571434,0.20953667953667954,prior,0.2939603254809603,0.9510000240762333,0.170802181823198,510.1823128803462
0.048397683397683404,0.2909266409266409,prior,0.349539298757604,1.0714920585873204,0.141974119783573,527.4993248662227
0.027374517374517376,0.3172586872586872,prior,0.47824764887350907,1.3359876535794863,0.09077665441207389,567.6016137398487
0.03922393822393823,0.2693822393822394,prior,0.3651383022725597,1.1045993365082813,0.13466661935761276,532.3595825304235
0.026610038610038612,0.21911196911196912,prior,0.41231823337914886,1.2029247143877366,0.11450272775060993,547.0596639514844
0.02584555984555985,0.1855984555984556,prior,0.39553708362165474,1.1682580246527352,0.12135135070542896,541.8310792124166
0.03578378378378379,0.17362934362934362,prior,0.3033574624716945,0.9716570866262219,0.1656105861808836,513.1102247201616
0.026992277992277994,0.48482625482625485,prior,0.6054645872866309,1.5796578446403415,0.05709262226005046,607.2392161896286
0.019729729729729733,0.3005019305019305,prior,0.5426897109025997,1.4614741156340743,0.07194268699808226,587.6801415492374
0.02928571428571429,0.0706949806949807,prior,0.27402820461062977,0.9067894104885813,0.1822590854218069,503.9719646916994
0.015142857142857145,0.24783783783783783,prior,0.5771550709052203,1.5268391417613119,0.06340050790541579,598.4186819913607
0.07018532818532819,0.07308880308880308,prior,0.09932498167128856,0.49419876383899103,0.31058290634746166,449.5388287905874
0.03922393822393823,0.3794980694980695,prior,0.4597619443146893,1.2991707828369499,0.09694266296617648,561.8419325413662
0.014378378378378378,0.266988416988417,prior,0.5998054536502831,1.5691608961231664,0.05830522663263349,605.475972300208
0.06215830115830116,0.14250965250965253,prior,0.17859966062569124,0.6872809442122366,0.2459528523513846,474.2388274536933
0.09694208494208495,0.2861389961389962,prior,0.2913510216239771,0.9452431443997038,0.17226737876263226,509.36931934156206
0.04801544401544402,0.23586872586872587,prior,0.30060324608600264,0.9656149235856314,0.16711845245018392,512.2520800774868
0.060629343629343635,0.187992277992278,prior,0.2247551898873853,0.7951172905866934,0.21327263881600383,488.61973099181455
0.010555984555984558,0.11378378378378379,prior,0.6070692195352682,1.5826286801995442,0.056753061284257666,607.7391792915784
0.04304633204633205,0.2574131274131274,prior,0.33790184944733936,1.046593485928334,0.14764355378142763,523.8733879820022
0.017436293436293437,0.25980694980694985,prior,0.5484401474097778,1.4724626618957637,0.07044799133362056,589.4718331197736
0.030814671814671818,0.6021235521235522,prior,0.6766469984126762,1.7091494462022152,0.043711635199249255,629.4178674669332
0.009409266409266408,0.19996138996138996,prior,0.6685200794064957,1.6945980874891056,0.04507584506744916,626.8857236445244
0.0376949806949807,0.47285714285714286,prior,0.5453194773167903,1.4665035044453478,0.07125558359091466,588.4995107068489
0.016671814671814673,0.16884169884169883,prior,0.5082443235180681,1.3949425442020351,0.0815165831615936,576.9478240732188
