time_year,scenario,CDR,cycles,R_env,qmax_over_qu,epsilon_p_raw,epsilon_p_eff,eta_eff,cb_eff,Delta_tan_phi_eff,Dcp,Dphip,qu,qu_no_cyclic_damage,FS,pf,beta,pf_life
14.0,C1,0.0707341522555727,2000.0,1.0,0.6553670761277863,4.312692349764624e-06,4.312589021883139e-06,0.7027217563536194,69.98020737200423,0.0889071798423658,0.9999654998829677,0.9999762810416786,912.625907396956,912.6306014795367,0.9606588498915326,0.6168938932303512,-0.29733309998280455,0.7641333333333333
14.5,C1,0.0761832212156129,2000.0,1.0,0.6580916106078064,4.312692349764624e-06,4.312589021883139e-06,0.6964278121746739,69.25989648627879,0.08822986921801318,0.9999654998829677,0.9999762810416786,911.5253802820995,911.5300395173117,0.9595004002969468,0.6199075231655522,-0.3052379199070821,0.7641333333333333
15.0,C1,0.08499999999999999,2000.0,1.0,0.6625,4.338451810067891e-06,4.338347244168261e-06,0.6902213692760881,68.55054109428876,0.08756106277314066,0.9999652938243199,0.9999761393748263,910.4320007576074,910.4366530062536,0.9583494744816919,0.6228979810519888,-0.313100857163656,0.7641333333333333
15.5,C1,0.0938167787843871,2000.0,1.0,0.6669083893921935,4.56755222705353e-06,4.5674363260528315e-06,0.684101211175185,67.8518734472532,0.08690057330482918,0.9999634611769507,0.9999748794157338,909.3457935381463,909.3506550544864,0.9572060984612066,0.6258650868191494,-0.32092157127569104,0.7641333333333333
16.0,C1,0.0992658477444273,2000.0,1.0,0.6696329238722136,5.035767651442605e-06,5.035626770986123e-06,0.678066138301384,67.16370862718355,0.08624828461180298,0.9999597157972624,0.9999723044362888,908.2669235269823,908.2722435397952,0.956070445817876,0.6288082853253231,-0.328698710164699,0.7641333333333333
16.5,C1,0.09926584774442732,2000.0,1.0,0.6696329238722136,5.503983075831681e-06,5.503814780207783e-06,0.6721149677610813,66.48601129103211,0.08560421154279287,0.9999559704510874,0.9999697294768704,907.1958303830551,907.2016018097344,0.9549429793505843,0.6317262826149346,-0.336428932435886,0.7641333333333333
17.0,C1,0.09381677878438711,2000.0,1.0,0.6669083893921935,5.733083492817321e-06,5.732900895325521e-06,0.6662465331057994,65.81874352528133,0.08496836670271947,0.9999541378445382,0.999968469542171,906.1329323608004,906.1388993523057,0.9538241393271583,0.6346178565445322,-0.3441090370100183,0.7641333333333333
17.5,C1,0.08500000000000002,2000.0,1.0,0.6625,5.758842953120588e-06,5.758658711095821e-06,0.6604596841035588,65.16172171421643,0.08434063304219427,0.9999539317914837,0.9999683278786612,905.0783431377441,905.0842924384165,0.9527140454081517,0.6374826254708511,-0.3517380139117492,0.7641333333333333
18.0,C1,0.07618322121561293,2000.0,1.0,0.6580916106078064,5.758842953120588e-06,5.758658711095821e-06,0.6547532865134293,64.51469248699871,0.08372082991084667,0.9999539317914837,0.9999683278786612,904.0320195749807,904.0379247372842,0.9516126521841902,0.6403206418297018,-0.3593159864625588,0.7641333333333333
18.5,C1,0.07073415225557271,2000.0,1.0,0.6553670761277863,5.758842953120588e-06,5.758658711095821e-06,0.6491262218632152,63.877486299316644,0.08310884962199976,0.9999539317914837,0.9999683278786612,902.9940665153825,902.9999279059002,0.9505200700161921,0.6431315639968628,-0.3668420065697097,0.7641333333333333
19.0,C1,0.0707341522555727,2000.0,1.0,0.6553670761277863,5.758842953120588e-06,5.758658711095821e-06,0.6435773872302307,63.24994965836877,0.0825045976396808,0.9999539317914837,0.9999683278786612,901.964604163677,901.9704221536214,0.9494364254354495,0.6459150176413513,-0.37431501184700705,0.7641333333333333
19.5,C1,0.0761832212156129,2000.0,1.0,0.6580916106078064,5.758842953120588e-06,5.758658711095821e-06,0.638105695025124,62.63193152015608,0.08190798052835432,0.9999539317914837,0.9999683278786612,900.9437418181533,900.9495167829166,0.9483618334927929,0.648670666897053,-0.3817340160578869,0.7641333333333333
20.0,C1,0.08499999999999999,2000.0,1.0,0.6625,5.784602413423855e-06,5.784416519492019e-06,0.6327100727787061,62.023270469516284,0.08131889441982901,0.9999537257385307,0.999968186215212,899.931552749074,899.9373107072488,0.9472963713148147,0.6513982817332843,-0.3890982925134991,0.7641333333333333
20.5,C1,0.09381677878438704,2000.0,1.0,0.6669083893921935,6.013702830409492e-06,6.013501920321129e-06,0.6273894629317431,61.42373335730288,0.0807371694376748,0.9999518931418094,0.9999669262863855,898.9279510901695,898.9338929470365,0.9462399485159678,0.6540980679479103,-0.39640827279927354,0.7641333333333333
21.0,C1,0.0992658477444273,2000.0,1.0,0.6696329238722136,6.4819182547985675e-06,6.481684842272184e-06,0.6221428226276722,60.83316172038642,0.08016270152444857,0.9999481478656302,0.999964351368795,897.9329857896975,897.9393431045968,0.9451926166207342,0.6567698746064813,-0.4036634086196763,0.7641333333333333
21.5,C1,0.09926584774442732,2000.0,1.0,0.6696329238722136,6.950133679187644e-06,6.949865328551574e-06,0.6169691235081974,60.25153246070057,0.07959550840195427,0.999944402622963,0.9999617764712306,896.9469653909202,896.9537318189386,0.944154700411495,0.659412862953807,-0.4108612549755941,0.7641333333333333
22.0,C1,0.09381677878438716,2000.0,1.0,0.6669083893921935,7.179234096173285e-06,7.1789477626638115e-06,0.6118673515117283,59.67882025399987,0.07903560582616942,0.9999425700670604,0.9999605165667966,895.9701829793585,895.977121201234,0.9431265083993247,0.6620262480075351,-0.41799947101707735,0.7641333333333333
22.5,C1,0.08500000000000002,2000.0,1.0,0.6625,7.204993556476552e-06,7.204705164545189e-06,0.6068365066746211,59.11486769445272,0.07848288902355711,0.9999423640197006,0.9999603749066898,895.0026530662814,895.0095652517664,0.9421080558592435,0.6646100002375935,-0.425077746798552,0.7641333333333333
23.0,C1,0.07618322121561293,2000.0,1.0,0.6580916106078064,7.204993556476552e-06,7.204705164545189e-06,0.6018756029351822,58.5594538716382,0.07793719393964255,0.9999423640197006,0.9999603749066898,894.0442485104571,894.0511102591179,0.941099208958376,0.6671644738496993,-0.43209681108439946,0.7641333333333333
23.5,C1,0.0707341522555727,2000.0,1.0,0.6553670761277863,7.204993556476552e-06,7.204705164545189e-06,0.596983667940397,58.012433672855146,0.07739842429813835,0.9999423640197006,0.9999603749066898,893.0949833762784,893.101795182331,0.9400999825013456,0.66968965120603,-0.43905636201092346,0.7641333333333333
24.0,C1,0.0707341522555727,2000.0,1.0,0.6553670761277863,7.204993556476552e-06,7.204705164545189e-06,0.5921597428553459,57.47367639961509,0.07686649601000016,0.9999423640197006,0.9999603749066898,892.1548896578332,892.161652016742,0.9391104101661403,0.6721854732526888,-0.4459559668044018,0.7641333333333333
24.5,C1,0.07618322121561286,2000.0,1.0,0.6580916106078064,7.204993556476552e-06,7.204705164545189e-06,0.5874028821752688,56.94305343626856,0.07634132596532361,0.9999423640197006,0.9999603749066898,891.2239927360263,891.2307061441653,0.9381305186695014,0.674651904794644,-0.4527952415289858,0.7641333333333333
25.0,C1,0.08499999999999999,2000.0,1.0,0.6625,7.230753016779819e-06,7.230462559062456e-06,0.5827121535402444,56.42042659059687,0.07582282128052503,0.9999421579724421,0.9999602332466434,890.3022878866249,890.3089766680704,0.9371603030385525,0.6770889962100347,-0.45957402423834437,0.7641333333333333
25.5,C1,0.09381677878438704,2000.0,1.0,0.6669083893921935,7.459853433765456e-06,7.459544278896057e-06,0.5780866375524433,55.905592215048515,0.07531082743774005,0.999940325426367,0.9999589733480821,889.3896256917782,889.3964767343722,0.9361996059913454,0.6794971845010175,-0.4662932202000367,0.7641333333333333
26.0,C1,0.0992658477444273,2000.0,1.0,0.6696329238722136,7.928068858154531e-06,7.927719677984779e-06,0.573525427595924,55.39841436092752,0.0748052511735569,0.9999365802536933,0.9999563984923444,888.4859850454848,888.4932138384288,0.9352484053110366,0.6818765709992958,-0.4729527943340548,0.7641333333333333
26.5,C1,0.0992658477444273,2000.0,1.0,0.6696329238722136,8.396284282543605e-06,8.395892641441803e-06,0.5690276296589329,54.89888024786013,0.07430611284213724,0.9999328351145303,0.9999538236566322,887.5915891678492,887.5991901188155,0.934306935966157,0.6842266202054637,-0.4795509100839402,0.7641333333333333
27.0,C1,0.09381677878438713,2000.0,1.0,0.6669083893921935,8.625384699529246e-06,8.624971394618486e-06,0.5645923621586755,54.40697516468115,0.07381343107802169,0.9999310026092725,0.9999525637824626,886.7066499303812,886.7144026384221,0.9333754209793487,0.6865468361469933,-0.48608580941010054,0.7641333333333333
27.5,C1,0.08499999999999998,2000.0,1.0,0.6625,8.651144159832513e-06,8.650728382620932e-06,0.5602187557685228,53.92256401421149,0.07332711201895778,0.9999307965676071,0.9999524221257585,885.8311229904126,885.8388436533965,0.9324538136741185,0.6888374019045773,-0.49255762428006317,0.7641333333333333
28.0,C1,0.07618322121561293,2000.0,1.0,0.6580916106078064,8.651144159832513e-06,8.650728382620932e-06,0.5559059532476209,53.44545356555728,0.07284700632294662,0.9999307965676071,0.9999524221257585,884.964834809987,884.9725008704356,0.9315419313789337,0.6910988409502226,-0.4989674457993632,0.7641333333333333
28.5,C1,0.07073415225557272,2000.0,1.0,0.6553670761277863,8.651144159832513e-06,8.650728382620932e-06,0.5516531092728688,52.97551949538255,0.072373027860745,0.9999307965676071,0.9999524221257585,884.1077456425548,884.115357692909,0.9306397322553209,0.6933313289681373,-0.5053153801114647,0.7641333333333333
29.0,C1,0.0707341522555727,2000.0,1.0,0.6553670761277863,8.651144159832513e-06,8.650728382620932e-06,0.5474593902732326,52.51265049141487,0.07190510184179423,0.9999307965676071,0.9999524221257585,883.2598348252936,883.267393456272,0.9297471945529406,0.6955349952891537,-0.5116013943442348,0.7641333333333333
29.5,C1,0.07618322121561286,2000.0,1.0,0.6580916106078064,8.651144159832513e-06,8.650728382620932e-06,0.5433239742663629,52.05673701261746,0.07144315434741372,0.9999307965676071,0.9999524221257585,882.4210778528484,882.4285836532148,0.9288642924766826,0.6977099826479014,-0.5178254861368916,0.7641333333333333
30.0,C1,0.08499999999999999,2000.0,1.0,0.6625,8.67690362013578e-06,8.676485363259268e-06,0.5392460506974834,51.607660626640005,0.07098710226450726,0.9999305905260429,0.9999522804691151,881.5914244008517,881.5989001489729,0.9279909730535281,0.6998565036899604,-0.5239878470879976,0.7641333333333333
30.5,C1,0.09381677878438713,2000.0,1.0,0.6669083893921935,8.90600403712142e-06,8.905563402167305e-06,0.5352248202805197,51.16524284242004,0.07053680469310475,0.9999287580306123,0.999951020600818,880.7706914510851,880.7783113872009,0.9271270436327211,0.7019751156059886,-0.5300896585908333,0.7641333333333333
31.0,C1,0.0992658477444273,2000.0,1.0,0.6696329238722136,9.374219461510495e-06,9.373731278513597e-06,0.5312594948414366,50.729366869662066,0.0700921779702904,0.9999250129614404,0.9999484458069312,879.9588174292718,879.9667825868075,0.9262724393992334,0.704066062263267,-0.5361312043365866,0.7641333333333333
31.5,C1,0.0992658477444273,2000.0,1.0,0.6696329238722136,9.84243488589957e-06,9.841896719268162e-06,0.5273492971637537,50.300028610303194,0.06965324487047393,0.9999212679257783,0.9999458710330694,879.1559704243775,879.164275930121,0.9254273372888184,0.7061289998664376,-0.5421110596676233,0.7641333333333333
32.0,C1,0.09381677878438713,2000.0,1.0,0.6669083893921935,1.007153530288521e-05,1.0070971791549255e-05,0.5234934608362083,49.8772222892814,0.06922002666627865,0.9999194354711636,0.9999446111891633,878.3623100485672,878.3707507427464,0.9245919053142813,0.708163613413381,-0.5480278599750515,0.7641333333333333
