kH,objective,rmse_bcr,mape_percent,max_abs_error_bcr,bias_bcr
0.35100250626566415,0.010642040482080117,0.10316026600431058,6.917654720170037,0.154709305619124,0.09367536669957902
0.3548872180451128,0.010394949633148754,0.10195562580431133,6.842373485996599,0.15266726834039757,0.09267180615318557
0.3587719298245614,0.010150966985369995,0.10075200735156593,6.766964218736407,0.15063840009628482,0.09166599881582016
0.36265664160401,0.009910118374053697,0.09954957746798174,6.691439594234764,0.14862280775004222,0.09065811742353827
0.36654135338345867,0.00967242655389999,0.09834849543282291,6.615811862496389,0.1466205838549497,0.08964832927112551
0.37042606516290727,0.009437911357265417,0.09714891330975049,6.540092861539962,0.14463180751382798,0.08863679638010571
0.3743107769423559,0.009206589845630699,0.09595097626199901,6.464294030827554,0.14265654519221527,0.08762367566187859
0.37819548872180453,0.008978476454493501,0.09475482285611377,6.388426424274689,0.14069485148755145,0.08660911907603182
0.38208020050125313,0.008753583131909309,0.09356058535467437,6.312500722847794,0.1387467698566065,0.08559327378388515
0.38596491228070173,0.008531919470903203,0.09236838999843616,6.236527246756884,0.13681233330330733,0.0845762822973406
0.3898496240601504,0.008313492835973118,0.09117835727832081,6.160515967251871,0.13489156502900346,0.08355828262312107
0.39373433583959905,0.008098308483902526,0.08999060219768798,6.084476518031487,0.1329844790471335,0.08253940840248872
0.39761904761904765,0.007886369679097213,0.08880523452532071,6.008418206274276,0.13109108076415232,0.08151978904654164
0.40150375939849625,0.007677677803656713,0.08762235903955516,5.9323500233014785,0.12921136752849272,0.08049954986719339
0.40538847117794485,0.007472232462386627,0.0864420757639856,5.856280654881705,0.12734532914925323,0.07947881220394196
0.40927318295739346,0.007270031582953187,0.08526448019517381,5.780218491187698,0.12549294838621505,0.07845769354654113
0.4131578947368421,0.007071071511376201,0.08408966352279096,5.704171636415217,0.12365420141271288,0.07743630765368437
0.41704260651629077,0.006875347103051471,0.0829177128426217,5.62814791807448,0.12182905825281187,0.07641476466781767
0.42092731829573937,0.0066828518094879195,0.08174871136285831,5.552154895964256,0.12001748319416339,0.0753931712261949
0.424812030075188,0.006493577760939145,0.08058273860411512,5.476199870838731,0.11821943517784428,0.0743716305682888
0.4286967418546366,0.006307515845103551,0.0794198705935961,5.400289892777188,0.11643486816641824,0.07335024263967242
0.43258145363408523,0.006124655782061285,0.07826018005385169,5.324431769266332,0.11466373149139453,0.07232910419248224
0.43646616541353384,0.005944986195610467,0.07710373658656543,5.248632073004946,0.1129059701811892,0.07130830888257415
0.4403508771929825,0.0057684946811597925,0.07595060685182042,5.172897149440366,0.11116152527065237,0.0702879473634809
0.4442355889724311,0.005595167870328282,0.0748008547433001,5.097233124045969,0.10943033409314817,0.06926810737727647
0.4481203007518797,0.005424991492398232,0.07365454155989454,5.021645909348847,0.10771233055614249,0.0682488738424539
0.4520050125313283,0.005257950432761211,0.07251172617419345,4.946141211716381,0.10600744540118612,0.06723032893891671
