profile_parameter,fixed_value,objective,delta_objective
chimin,0.37,0.0,0.0
chimin,0.38999999999999996,0.0,0.0
chimin,0.41,0.0,0.0
chimin,0.43,0.0,0.0
chimin,0.44999999999999996,0.0,0.0
chimin,0.47,0.0,0.0
chimin,0.49,0.0,0.0
chimin,0.51,0.0,0.0
chimin,0.53,0.0,0.0
chimin,0.55,0.0,0.0
chimin,0.57,0.0,0.0
chimin,0.59,0.0,0.0
chimin,0.61,0.0,0.0
chimin,0.63,0.0,0.0
chimin,0.6499999999999999,0.0,0.0
chimin,0.6699999999999999,0.0,0.0
chimin,0.69,0.0,0.0
chimin,0.71,0.0,0.0
chimin,0.73,0.0,0.0
chimin,0.75,0.0,0.0
chimin,0.77,0.0,0.0
chimin,0.79,0.0,0.0
chimin,0.81,0.0,0.0
chimin,0.83,0.1050797056,0.1050797056
chimin,0.85,0.5244077056000005,0.5244077056000005
chimin,0.87,1.2637357056000016,1.2637357056000016
chimin,0.89,2.323063705600003,2.323063705600003
chimin,0.91,3.7023917056000055,3.7023917056000055
chimin,0.9299999999999999,5.401719705599998,5.401719705599998
chimin,0.95,7.4210477055999995,7.4210477055999995
