kz,effective_IR_CPT,target_effective_IR_CPT,objective
0.4030075187969925,0.7600955266540512,0.564344187245019,0.03831858688043013
0.40714285714285714,0.7576882840351187,0.564344187245019,0.03738193976357943
0.4112781954887218,0.7552997971700051,0.564344187245019,0.036464044961823434
0.41541353383458646,0.7529298943588991,0.564344187245019,0.035564568927642176
0.4195488721804511,0.7505784067377306,0.564344187245019,0.03468318451005947
0.4236842105263158,0.7482451681809077,0.564344187245019,0.033819570789182095
0.42781954887218043,0.7459300152057864,0.564344187245019,0.03297341291619741
0.4319548872180451,0.7436327868791047,0.564344187245019,0.032144401958751484
0.43609022556390975,0.7413533247255782,0.564344187245019,0.031332234751611523
0.4402255639097744,0.7390914726388277,0.564344187245019,0.030536613752505222
0.44436090225563907,0.7368470767947761,0.564344187245019,0.029757246903015705
0.4484962406015037,0.7346199855676295,0.564344187245019,0.028993847494402335
0.4526315789473684,0.7324100494485327,0.564344187245019,0.02824613403821046
0.45676691729323304,0.7302171209669659,0.564344187245019,0.027513830141525385
0.4609022556390977,0.7280410546149361,0.564344187245019,0.02679666438672422
0.46503759398496236,0.7258817067739843,0.564344187245019,0.02609437021557086
0.469172932330827,0.7237389356450341,0.564344187245019,0.025406685817504118
0.4733082706766917,0.7216126011810741,0.564344187245019,0.024733354021962358
0.47744360902255634,0.7195025650226643,0.564344187245019,0.024074122194590493
0.481578947368421,0.7174086904362418,0.564344187245019,0.02342874213717585
0.48571428571428565,0.7153308422551939,0.564344187245019,0.022796969991161587
0.4898496240601503,0.7132688868236504,0.564344187245019,0.022178566144585618
0.493984962406015,0.711222691942949,0.564344187245019,0.02157329514229983
0.4981203007518797,0.7091921268207152,0.564344187245019,0.020980925599324535
0.5022556390977444,0.7071770620224916,0.564344187245019,0.02040123011719718
0.5063909774436091,0.7051773694258535,0.564344187245019,0.019833985203180124
0.5105263157894737,0.7031929221769347,0.564344187245019,0.0192789711921934
0.5146616541353384,0.7012235946492896,0.564344187245019,0.018735972171344296
0.518796992481203,0.6992692624050185,0.564344187245019,0.01820477590693152
0.5229323308270677,0.6973298021580709,0.564344187245019,0.01768517377380254
0.5270676691729324,0.6954050917396533,0.564344187245019,0.017176960686951643
0.531203007518797,0.693495010065653,0.564344187245019,0.01667993503524678
0.5353383458646617,0.6915994371060052,0.564344187245019,0.01619389861718204
0.5394736842105263,0.6897182538559135,0.564344187245019,0.015718656578552998
0.543609022556391,0.6878513423088489,0.564344187245019,0.015254017351960929
0.5477443609022556,0.6859985854312477,0.564344187245019,0.014799792598053484
0.5518796992481203,0.6841598671388236,0.564344187245019,0.01435579714841465
0.556015037593985,0.6823350722744217,0.564344187245019,0.013921848950021725
0.5601503759398496,0.6805240865873375,0.564344187245019,0.013497769011191268
0.5642857142857143,0.6787267967140229,0.564344187245019,0.013083381348938664
0.5684210526315789,0.6769430901601103,0.564344187245019,0.012678512937682164
0.5725563909774436,0.6751728552836835,0.564344187245019,0.012282993659224502
0.5766917293233083,0.6734159812797237,0.564344187245019,0.01189665625394904
0.5808270676691729,0.6716723581656648,0.564344187245019,0.011519336273171367
0.5849624060150376,0.6699418767679993,0.564344187245019,0.011150872032591748
0.5890977443609022,0.6682244287098634,0.564344187245019,0.010791104566794383
0.5932330827067669,0.6665199063995457,0.564344187245019,0.01043987758474472
0.5973684210526315,0.664828203019864,0.564344187245019,0.010097037426239299
0.6015037593984962,0.6631492125183528,0.564344187245019,0.00976243301926413
0.6056390977443609,0.6614828295982023,0.564344187245019,0.009435915838219648
0.6097744360902255,0.6598289497099106,0.564344187245019,0.009117339862976767
0.6139097744360902,0.6581874690435887,0.564344187245019,0.008806561538725765
0.6180451127819548,0.6565582845218771,0.564344187245019,0.008503439736585856
0.6221804511278195,0.6549412937934284,0.564344187245019,0.008207835714943837
0.6263157894736842,0.6533363952269156,0.564344187245019,0.007919613081493132
0.6304511278195488,0.6517434879055222,0.564344187245019,0.007638637755945029
0.6345864661654135,0.6501624716218781,0.564344187245019,0.007364777933387462
0.6387218045112781,0.6485932468734064,0.564344187245019,0.007097904048267568
0.6428571428571428,0.6470357148580429,0.564344187245019,0.006837888738975494
0.6469924812030075,0.6454897774703012,0.564344187245019,0.006584606813009418
0.6511278195488721,0.6439553372976444,0.564344187245019,0.006337935212701641
0.6552631578947368,0.6424322976171479,0.564344187245019,0.006097752981489789
0.6593984962406014,0.6409205623924094,0.564344187245019,0.005863941230713863
0.6635338345864661,0.6394200362706935,0.564344187245019,0.005636383106925878
0.6676691729323307,0.6379306245802826,0.564344187245019,0.005414963759696676
0.6718045112781954,0.6364522333280083,0.564344187245019,0.005199570309906503
0.6759398496240601,0.6349847691969468,0.564344187245019,0.004990091818507027
0.6800751879699247,0.6335281395442568,0.564344187245019,0.0047864192557432106
0.6842105263157894,0.6320822523991381,0.564344187245019,0.0045884454708236795
0.688345864661654,0.6306470164609019,0.564344187245019,0.004396065162030539
0.6924812030075187,0.6292223410971264,0.564344187245019,0.004209174847257716
0.6966165413533834,0.6278081363418896,0.564344187245019,0.004027672834970181
0.700751879699248,0.6264043128940647,0.564344187245019,0.0038514591955753435
0.7048872180451127,0.625010782115663,0.564344187245019,0.0036804357331988447
0.7090225563909773,0.6236274560302132,0.564344187245019,0.0035145059578575795
0.713157894736842,0.6222542473211676,0.564344187245019,0.0033535750580231433
0.7172932330827066,0.6208910693303239,0.564344187245019,0.0031975498735693757
0.7214285714285713,0.6195378360562521,0.564344187245019,0.003046338869097735
0.725563909774436,0.6181944621527222,0.564344187245019,0.002899852107635211
0.7296992481203006,0.6168608629271202,0.564344187245019,0.002758001224698996
0.7338345864661653,0.6155369543388474,0.564344187245019,0.002620699402722956
0.73796992481203,0.6142226529976982,0.564344187245019,0.00248786134584119
0.7421052631578947,0.6129178761622099,0.564344187245019,0.002359403255024038
0.7462406015037594,0.6116225417379746,0.564344187245019,0.0022352428035615737
0.750375939849624,0.6103365682759182,0.564344187245019,0.0021152991128914164
0.7545112781954887,0.6090598749705329,0.564344187245019,0.001999492728765677
0.7586466165413533,0.6077923816580658,0.564344187245019,0.0018877455977539125
0.762781954887218,0.6065340088146588,0.564344187245019,0.0017799810440780434
0.7669172932330827,0.605284677554434,0.564344187245019,0.0016761237467753072
0.7710526315789473,0.6040443096275283,0.564344187245019,0.0015760997171862163
0.775187969924812,0.60281282741807,0.564344187245019,0.0014798362767636704
0.7793233082706766,0.6015901539420987,0.564344187245019,0.0013872620351999695
0.7834586466165413,0.6003762128454254,0.564344187245019,0.0012983068688683433
0.787593984962406,0.5991709284014339,0.564344187245019,0.0012129018995759256
0.7917293233082706,0.5979742255088206,0.564344187245019,0.0011309794736247612
