kH,kz,chi_min,rs,eta_eff_50yr,chiH,chis_50yr,qu50_kPa,beta50,pf50
0.7239348370927319,1.5,0.75,0.18,0.4296403847278113,0.7487582851167804,0.9667736451659689,857.6946226495481,-0.8278486835335637,0.7961219000563976
0.7239348370927319,1.5,0.75,0.25,0.4296403847278113,0.7487582851167804,0.9538522849527346,856.3888905203545,-0.8408393260428684,0.7997810236456362
0.7239348370927319,1.5,0.85,0.1,0.4296403847278113,0.7487582851167804,0.9815409139810938,859.186887940055,-0.8130505833672049,0.7919054713600846
0.7239348370927319,1.5,0.85,0.18,0.4296403847278113,0.7487582851167804,0.9667736451659689,857.6946226495481,-0.8278486835335637,0.7961219000563976
0.7239348370927319,1.5,0.85,0.25,0.4296403847278113,0.7487582851167804,0.9538522849527346,856.3888905203545,-0.8408393260428684,0.7997810236456362
1.2,0.4,0.65,0.1,0.44571720115074115,0.5654017914929218,0.980133617659835,837.6915764430756,-1.031299555507212,0.8487998166379791
1.2,0.4,0.65,0.18,0.44571720115074115,0.5654017914929218,0.964240511787703,836.4317885656526,-1.0444385762957966,0.8518587381651788
1.2,0.4,0.65,0.25,0.44571720115074115,0.5654017914929218,0.9503340441495874,835.3294741729075,-1.0559677291096365,0.8545085206640861
1.2,0.4,0.75,0.1,0.44571720115074115,0.5654017914929218,0.980133617659835,837.6915764430756,-1.031299555507212,0.8487998166379791
1.2,0.4,0.75,0.18,0.44571720115074115,0.5654017914929218,0.964240511787703,836.4317885656526,-1.0444385762957966,0.8518587381651788
1.2,0.4,0.75,0.25,0.44571720115074115,0.5654017914929218,0.9503340441495874,835.3294741729075,-1.0559677291096365,0.8545085206640861
1.2,0.4,0.85,0.1,0.44571720115074115,0.5654017914929218,0.980133617659835,837.6915764430756,-1.031299555507212,0.8487998166379791
1.2,0.4,0.85,0.18,0.44571720115074115,0.5654017914929218,0.964240511787703,836.4317885656526,-1.0444385762957966,0.8518587381651788
1.2,0.4,0.85,0.25,0.44571720115074115,0.5654017914929218,0.9503340441495874,835.3294741729075,-1.0559677291096365,0.8545085206640861
1.2,0.9199248120300751,0.65,0.1,0.4350502728396387,0.5654017914929218,0.9810731260102156,835.838701351494,-1.050637921333156,0.8532875412335177
1.2,0.9199248120300751,0.65,0.18,0.4350502728396387,0.5654017914929218,0.9659316268183881,834.6682364750452,-1.062898254613222,0.8560859526828217
1.2,0.9199248120300751,0.65,0.25,0.4350502728396387,0.5654017914929218,0.952682815025539,833.6440797081524,-1.0736542878345199,0.8585111718019314
1.2,0.9199248120300751,0.75,0.1,0.4350502728396387,0.5654017914929218,0.9810731260102156,835.838701351494,-1.050637921333156,0.8532875412335177
1.2,0.9199248120300751,0.75,0.18,0.4350502728396387,0.5654017914929218,0.9659316268183881,834.6682364750452,-1.062898254613222,0.8560859526828217
1.2,0.9199248120300751,0.75,0.25,0.4350502728396387,0.5654017914929218,0.952682815025539,833.6440797081524,-1.0736542878345199,0.8585111718019314
1.2,0.9199248120300751,0.85,0.1,0.4350502728396387,0.5654017914929218,0.9810731260102156,835.838701351494,-1.050637921333156,0.8532875412335177
1.2,0.9199248120300751,0.85,0.18,0.4350502728396387,0.5654017914929218,0.9659316268183881,834.6682364750452,-1.062898254613222,0.8560859526828217
1.2,0.9199248120300751,0.85,0.25,0.4350502728396387,0.5654017914929218,0.952682815025539,833.6440797081524,-1.0736542878345199,0.8585111718019314
1.2,1.5,0.65,0.1,0.4296403847278113,0.5654017914929218,0.9815409139810938,834.8979280077925,-1.0604895809226962,0.855539036232484
1.2,1.5,0.65,0.18,0.4296403847278113,0.5654017914929218,0.9667736451659689,833.771089767193,-1.072318950878958,0.8582116011541359
1.2,1.5,0.65,0.25,0.4296403847278113,0.5654017914929218,0.9538522849527346,832.7851063066684,-1.0826959098836415,0.860528289956867
1.2,1.5,0.75,0.1,0.4296403847278113,0.5654017914929218,0.9815409139810938,834.8979280077925,-1.0604895809226962,0.855539036232484
1.2,1.5,0.75,0.18,0.4296403847278113,0.5654017914929218,0.9667736451659689,833.771089767193,-1.072318950878958,0.8582116011541359
1.2,1.5,0.75,0.25,0.4296403847278113,0.5654017914929218,0.9538522849527346,832.7851063066684,-1.0826959098836415,0.860528289956867
1.2,1.5,0.85,0.1,0.4296403847278113,0.5654017914929218,0.9815409139810938,834.8979280077925,-1.0604895809226962,0.855539036232484
1.2,1.5,0.85,0.18,0.4296403847278113,0.5654017914929218,0.9667736451659689,833.771089767193,-1.072318950878958,0.8582116011541359
1.2,1.5,0.85,0.25,0.4296403847278113,0.5654017914929218,0.9538522849527346,832.7851063066684,-1.0826959098836415,0.860528289956867
