sample_type,time_year,eta_mean,eta_ci95_low,eta_median,eta_ci95_high,beta_mean,beta_ci95_low,beta_median,beta_ci95_high,pf_mean,pf_ci95_low,pf_median,pf_ci95_high,qservice_max_beta3_mean,qservice_max_beta3_ci95_low,qservice_max_beta3_median,qservice_max_beta3_ci95_high
prior,18.0,0.6596780047660742,0.3920454566699634,0.6749597357460463,0.8478158221516495,1.6720889429537187,1.161002949473744,1.7061332006550662,2.0027428445718476,0.05144653036689676,0.02260111809962068,0.043991515667750405,0.12281739636516739,624.1307552904665,540.7431759603776,628.8921588023287,682.7497733577139
prior,19.0,0.6487229557296741,0.37703443096311023,0.6636357748122615,0.8427332756940955,1.6519265553528728,1.1296451243967158,1.6858243694574273,1.9943604988404637,0.053782335645863426,0.02305559453646194,0.04591417781121124,0.12930487695922582,620.7174371903833,536.0661174117787,625.3638970217112,681.1661795499235
prior,20.0,0.6381581633531385,0.36326698496558635,0.6527915981330955,0.8377197803050452,1.6323832393859,1.1006436494571719,1.6662683128879807,1.9860729208740429,0.05611391127121046,0.02350930336475849,0.04782862821654373,0.13552493821599026,617.4257132626645,531.7765270631528,621.9851239631416,679.6041003205867
prior,21.0,0.6279666244752969,0.35011399489184086,0.6420974513891304,0.8326777315102837,1.6134383803712784,1.0727171945573744,1.6468784983320064,1.9777189082292181,0.058437430867384406,0.023979308051106877,0.049787809210142135,0.1416870537387233,614.2502857493918,527.6783857458701,618.6530964637817,678.0331245672623
prior,22.0,0.6181322099304744,0.3379527671335955,0.6317221614738221,0.8277493802688861,1.5950719516070648,1.046702800287773,1.6279667434017953,1.969534550358163,0.06074944313488854,0.024445613811929372,0.05176477085432529,0.14761038668705198,611.1861292076886,523.8892526540393,615.4204167428729,676.4975741155998
prior,23.0,0.6086396134090555,0.32657220146395666,0.6218311389725307,0.8228914425751674,1.5772645183233218,1.0221873487989075,1.6098449744031484,1.96144892465209,0.06304685171441231,0.024913170829422515,0.05371548477487806,0.15334526279400232,608.2284745759581,520.343354259583,612.3386225838683,674.9839627566776
prior,24.0,0.5994743036197389,0.31575048254967547,0.6120698411699262,0.8179896582781263,1.5599972382432292,0.998720283728876,1.591871240312837,1.9532719213492944,0.06532689354252955,0.025393526700398107,0.05570552501551162,0.15896007611052299,605.3727942688415,516.9715784764353,609.2972473824224,673.4566898975419
prior,25.0,0.5906224795240195,0.30554406323164196,0.6027288016009332,0.8132380817192242,1.5432518592034683,0.976446830392762,1.5745871332801173,1.9453277703289797,0.06758711650432794,0.025865363607728703,0.057674283934388226,0.16440435186468808,602.614788229409,513.7915145917801,606.3868140901114,671.9762179965452
prior,26.0,0.5820710284302905,0.29603358066941615,0.5935990955293154,0.808517072166139,1.5270107142483558,0.9555676885554194,1.5576137146219,1.9374173715469805,0.0698253569951633,0.026344922617322228,0.059660123544923525,0.16964047964617027,599.9503708723332,510.8282871190131,603.5422270071009,670.5052700067491
prior,27.0,0.5738074867505119,0.2871096734288079,0.5847530941505397,0.8038335741455416,1.5112567145757574,0.9358658672289507,1.5410912621503416,1.9295526601059503,0.07203971784544387,0.02682896312771893,0.06164465452252547,0.17466380571209494,597.3756588566536,508.04782178228834,600.7860351800072,669.0460096682247
prior,28.0,0.565820003236774,0.2786965519439746,0.5761886803712083,0.7992947906022118,1.4959733406768112,0.9171927422450841,1.5250223780703938,1.9219145746852155,0.0742285469348463,0.02730823142315489,0.06362459606869972,0.179519402426328,594.8869596312126,505.4265044566457,598.1175789757071,667.6318387257367
