time_year,eta,phi_deg,c_b_kpa,q_u_bdc_kpa,q_u_matrix_kpa,q_u_non_degrading_kpa,factor_of_safety,settlement_index
29.0,0.5026738952693425,33.53402442763158,9.06795335823445,1392.4178998172854,961.0457249966094,1849.684099784351,1.5471309997969838,0.042023820311728
29.5,0.4977701351505741,33.519314435242265,8.966297771394862,1387.7101694707865,961.0457249966094,1849.684099784351,1.5419001883008738,0.04243079977066038
30.0,0.4929514443067011,33.50485475308284,8.866551900720014,1383.0868482554374,961.0457249966094,1849.684099784351,1.5367631647282638,0.042836594329962986
30.5,0.4882163469759906,33.49064120594654,8.768678760064594,1378.546543857144,961.0457249966094,1849.684099784351,1.5317183820634932,0.04324113113582287
31.0,0.4835633929978761,33.47666968534008,8.672642097727067,1374.087876882401,961.0457249966094,1849.684099784351,1.526764307647112,0.04364433878315354
31.5,0.47899115736883535,33.462936148521244,8.578406381716816,1369.7094814999748,961.0457249966094,1849.684099784351,1.5218994238888608,0.04404614733924286
32.0,0.47449823980597083,33.449436617546574,8.48593678531477,1365.41000601424,961.0457249966094,1849.684099784351,1.517122228904711,0.04444648836562754
32.5,0.47008326431816305,33.436167178329214,8.395199172921831,1361.1881133749814,961.0457249966094,1849.684099784351,1.5124312370833126,0.044845294938199415
33.0,0.4657448787846624,33.423123979706844,8.306160086189314,1357.0424816281065,961.0457249966094,1849.684099784351,1.507824979586785,0.045242501665553554
33.5,0.46148175454099094,33.41030323251995,8.21878673042588,1352.9718043115058,961.0457249966094,1849.684099784351,1.503302004790562,0.045638044705589395
34.0,0.45729258597202915,33.39770120870018,8.13304696127558,1348.9747907999463,961.0457249966094,1849.684099784351,1.4988608786666069,0.046031861780380164
34.5,0.45317609011216103,33.38531424036906,8.04890927166157,1345.050166602713,961.0457249966094,1849.684099784351,1.4945001851141255,0.046423892189327104
35.0,0.4491310062523556,33.3731387189469,7.96634277899032,1341.1966736173667,961.0457249966094,1849.684099784351,1.4902185262415186,0.04681407682062064
