year_0,year_1,year_2,year_3,year_4,year_5,year_6,year_7,year_8,year_9,year_10,year_11,year_12,year_13,year_14,year_15,year_16,year_17,year_18,year_19,year_20,year_21,year_22,year_23,year_24,year_25,year_26,year_27,year_28,year_29,year_30,year_31,year_32,year_33,year_34,year_35,year_36,year_37,year_38,year_39,year_40,year_41,year_42,year_43,year_44,year_45,year_46,year_47,year_48,year_49,year_50
507.6689476260018,464.7828761745528,437.0207542950959,443.24639015767355,475.1687200919357,506.957128397582,514.6273529395901,486.33381373698535,431.4241672731364,374.6215285408906,340.93109809409816,347.3395931258623,378.27252731452154,411.0796082402305,419.6748626495198,393.2262009409809,341.0367889192805,289.20460016491245,263.8132717581457,275.43694909182534,312.2868869031349,349.66834828691776,362.6407180098636,339.7159662107018,291.69617073281825,242.95453875038186,219.55920282997067,230.9206797134583,268.33504494772546,305.8199494617779,318.687603800764,296.61126093415226,249.31662239947525,201.51640907206354,179.53931085507725,193.03464665038894,231.24053222681164,270.23963309863893,283.99180167413465,261.8973571281923,213.82670933630527,165.10622478032155,141.60898312280028,154.37754571159303,193.75072640937367,233.16607969295364,247.55578718410834,224.93311540883883,177.3399764912532,129.88828053612178,107.5822087444401
659.7308295424197,619.0585252872712,592.2842108853379,601.1230380476574,634.9316859794216,668.9078111310378,678.3233353514785,652.4252616482624,601.4077683374231,551.3482439611543,527.0256707727247,538.722059968496,575.0876996012404,610.0943540672699,618.5491281748695,590.6433214545558,539.3365952032419,490.7112366755167,465.87693156269484,477.69808009878795,514.2749570486927,551.4597361185308,562.6238772039643,537.2513022461959,487.9231155093213,438.78140786968186,414.1855175709843,424.9771312599024,461.33553474112625,497.2625713933371,326.4905016302912,488.50395173348045,441.5241797223755,393.8704057070373,371.36345253138666,384.5391983784708,422.9379670213817,461.2790244329376,474.68890144447585,281.58499027272046,403.1680755302275,353.3821285247777,327.47291798648394,192.46886658348308,375.2130698222602,253.84036881326358,429.7254040251495,408.6691752772306,362.33023562865947,316.3339030051834,294.593859740035
537.5675872989789,483.64729838882715,450.4953205578686,458.4613994766627,494.29190538821945,526.7337860863604,526.2316871066447,488.50286006688066,423.52750284273816,361.08367554380027,328.90333700473093,335.39319482620283,364.4653898726008,393.41059209437935,395.194944626406,354.2404711889294,286.7120802256211,223.40302898741754,188.68987495969668,194.24587702643328,227.3652981973562,263.20035227771814,272.27846587692363,243.42618516571702,183.9612509357744,123.43395764871968,90.72662401418097,98.04532222777141,134.39661077155802,172.32759669790812,182.3593335333045,155.29194591478836,101.74911888839199,50.53447748724682,26.81621837143848,41.990212812082405,85.75179630026287,129.6549714094533,145.4323629441045,121.18352261333621,69.61718897305775,18.504145482136437,-4.275626513579709,13.23503268363254,59.370854451079595,105.62476340040234,-88.90536273577618,103.18340762887101,54.052891009450605,4.8697419438827865,-16.21485617377425
623.6504579561683,588.1208718190571,566.671386075459,575.3061212052564,606.4965741170615,638.6047904332672,648.5375253482763,624.5207610223347,578.8653812997879,533.9452846752104,512.2858354229205,522.4869347335032,555.2896479149288,490.75431637176655,597.5896172741649,576.6324011479998,531.8774800135993,486.9238453884004,464.4614668442183,474.2233961328275,508.68764076911634,543.1202101230838,554.8365283251977,534.3507383535185,490.8939356019971,447.4504259333021,424.9278736883856,435.10507126259586,466.2118040696994,496.69098720185684,504.59337249025896,481.7299972701518,436.0271558560722,389.68574061475283,366.67773558116016,225.78302958017957,408.07375242475814,440.38725686248495,450.8135128708651,428.8333503207467,381.95842833767745,335.4082843133973,312.2730079047293,320.26916922742225,351.35087145148793,382.9085965891079,392.8908455349448,371.85882365843213,328.35106620267254,284.95623870480097,263.36967061383086
875.4554281493025,837.7296674234358,814.8337797012412,825.781426915428,859.5044715102281,891.3672736382807,900.0966200279463,874.0550617171898,823.4892770010013,770.6041284081059,738.8137897895785,738.8388635873496,761.7946692435596,788.0560120767386,793.0654021020673,767.6349018890022,719.2881396773896,671.082025296058,646.9130527076254,653.5237534201353,683.3930052678713,712.8663521003461,716.2044387631363,685.2571996831974,634.7827881586866,583.2453602430924,380.4937680916544,559.7155257685745,588.564028517485,618.0467702486912,626.4204721203332,602.6868415955954,556.0011211536529,510.6934672325856,488.60214057478674,499.0927484858951,531.9624123887413,566.0303937113526,578.231672084278,558.3885800762615,514.6910386262651,470.50505626878305,448.72784927304474,460.860446604363,495.7254101650452,531.1765971690402,544.550489502438,525.4778084837546,482.57504534593147,439.63760770393526,419.4416162503155
946.2328062055971,902.2582499502699,873.9152423405075,882.5346998742538,915.4597983599783,949.2211436587767,956.0071084218224,927.6376162144621,875.0244015745548,822.6227956002527,796.1393653359027,806.3173422204328,843.0105919976306,878.8876158682702,887.6288581359114,860.5341990756974,809.3912566506624,757.3541774346949,730.2419258365345,739.5385687724305,773.732320969335,806.7227163323513,816.1176086849727,789.0544887486699,736.7048276086527,683.407692511638,656.5610778393126,667.4668865400184,704.7731154799392,742.173869322749,753.4503526066791,728.5317677935786,677.7673535130147,626.444711425619,600.8570767982341,612.9482809285254,651.5528755768896,690.4675449825105,704.1233080142771,681.7588373962844,633.1217410015055,585.3728561378762,563.8963091818845,579.229839299893,619.4037410061977,660.0630917930299,674.5875321533186,653.4172142091819,607.0379707446326,560.159992573178,538.4978607921831
637.5889938353685,587.7213309705952,554.2192113874933,559.5477074339636,587.8543191592051,613.7420933435644,611.1721363240018,568.840568837287,501.24044078829536,440.37085407295956,408.31595653177146,411.62580294382235,445.5740915138641,479.1617150003833,481.2197116915996,446.5640482888256,387.26568867986487,331.2593355842165,300.57142555053315,307.69511868078087,342.80998080212373,377.62457283072786,387.0370821229668,360.4689273987118,309.614771526847,259.0019626774514,234.87770174830507,247.60122489890193,285.8672625291589,323.86135551388384,336.7858995719822,314.7891038715833,267.8414268751219,221.29617420771513,200.25030611180955,215.40662369435802,255.60511712488858,295.82425013867123,309.92613472975984,288.9542134423208,242.5457963672368,196.72666650258338,175.92388009896126,191.23097181035143,231.92605572405546,273.0521792504926,118.37959142609373,269.4244391059294,224.40597101307117,178.850213899741,158.738712814373
746.7979908567878,700.261846390235,670.17767938172,682.9908777523378,724.7500452391147,767.2815973855435,780.2660891102153,752.4366290664797,694.5921847750345,637.3503816491275,607.2235133333163,618.5721651084971,654.3613688498639,690.7637907119118,697.8543299283033,665.5714725227836,605.4811235740789,545.182042808784,515.7187188599555,528.6670928489752,570.9184342035436,614.345268848613,628.9292237584143,600.468230788912,543.8731058821076,487.08198982420436,460.6105885346485,475.81295637763856,519.78881288276,563.8291012708031,579.0231987107934,552.880844663485,496.9212151930153,439.41451040633547,412.32399644788666,425.8575040586577,467.23119757623397,506.82679075667795,516.9598370237729,485.7918382307339,427.0880215470045,371.1553771446254,343.6875254635006,357.2047828946627,400.5065436008124,445.0612647760005,459.4594906949965,431.5149514021467,375.14615387525555,319.67825863356484,292.791858568497
590.8106184958655,542.2204291753523,508.68041331639665,510.99377438204544,536.1734424747084,398.19298820355436,559.1689112565116,523.7463431272515,461.556825735688,402.69497282566056,370.11185323986433,373.665003759697,405.21491858654133,438.2372978984863,446.69140657048524,417.35856742842964,364.8652270967135,313.572772712913,95.9932781386226,295.36832280012857,327.3540668446652,361.56523739721797,371.2380907740594,343.9640221897006,290.5486106286925,239.2569593273198,213.82065742397435,223.53935512748865,258.10320182665976,292.7316690748612,302.185406243992,276.50678111581476,226.94232849625473,177.51418233165134,154.16711069832786,166.38566470435183,204.16972169196436,242.24693018125777,255.72778414404047,233.76146515041808,186.25070934405176,139.3547123945375,118.58735647241338,134.21722704976594,174.6974303970112,215.2231405491034,230.63609225958453,210.40480075650794,164.1244407583149,117.88362778160513,97.26647082171758
932.6188251062616,886.4110860638955,856.2954597670114,859.9595944455775,887.6630444948853,911.9874330869836,916.3251424209734,884.0940541465159,828.6658244112209,772.4612720739544,739.3547347173151,737.9649972944467,762.2656630753509,789.9575750577596,790.8463770190444,759.0260504573286,704.2216545891388,652.0923543288304,625.2165306229508,632.8786196741678,665.7208750624704,698.1366981990282,704.5678532727293,674.9249846134859,619.5582714925615,567.8078024074134,539.5866956662649,545.4066409929999,577.7269416006945,608.6858598302733,617.7303581836734,592.6882787890928,540.0925460887439,487.38408758648734,460.61158979619154,468.0760067714216,501.64408477576967,535.529100426382,547.0511020258571,524.4535861223723,479.2181314685437,434.23712702913474,413.89359081321777,427.9258232382399,465.6605349257155,503.80907158989294,517.5293114888402,497.1089457524556,452.99915703056183,408.7805576168131,388.7689558770678
