time_year,scenario,S_chem,S_flow,S_WD,S_env
18.75,C,0.75,0.75,0.6,0.72
19.0,C,0.75,0.75,0.6,0.72
19.25,C,0.75,0.75,0.6,0.72
19.5,C,0.75,0.75,0.6,0.72
19.75,C,0.75,0.75,0.6,0.72
20.0,C,0.75,0.75,0.6,0.72
20.25,C,0.75,0.75,0.6,0.72
20.5,C,0.75,0.75,0.6,0.72
20.75,C,0.75,0.75,0.6,0.72
21.0,C,0.75,0.75,0.6,0.72
21.25,C,0.75,0.75,0.6,0.72
21.5,C,0.75,0.75,0.6,0.72
21.75,C,0.75,0.75,0.6,0.72
22.0,C,0.75,0.75,0.6,0.72
22.25,C,0.75,0.75,0.6,0.72
22.5,C,0.75,0.75,0.6,0.72
22.75,C,0.75,0.75,0.6,0.72
23.0,C,0.75,0.75,0.6,0.72
23.25,C,0.75,0.75,0.6,0.72
23.5,C,0.75,0.75,0.6,0.72
23.75,C,0.75,0.75,0.6,0.72
24.0,C,0.75,0.75,0.6,0.72
24.25,C,0.75,0.75,0.6,0.72
24.5,C,0.75,0.75,0.6,0.72
24.75,C,0.75,0.75,0.6,0.72
25.0,C,0.75,0.75,0.6,0.72
25.25,C,0.75,0.75,0.6,0.72
25.5,C,0.75,0.75,0.6,0.72
25.75,C,0.75,0.75,0.6,0.72
26.0,C,0.75,0.75,0.6,0.72
26.25,C,0.75,0.75,0.6,0.72
26.5,C,0.75,0.75,0.6,0.72
26.75,C,0.75,0.75,0.6,0.72
27.0,C,0.75,0.75,0.6,0.72
27.25,C,0.75,0.75,0.6,0.72
27.5,C,0.75,0.75,0.6,0.72
27.75,C,0.75,0.75,0.6,0.72
28.0,C,0.75,2.0,0.6,1.1575000000000002
28.25,C,0.75,2.0,0.6,1.1575000000000002
28.5,C,0.75,2.0,0.6,1.1575000000000002
28.75,C,0.75,2.0,0.6,1.1575000000000002
29.0,C,0.75,2.0,0.6,1.1575000000000002
29.25,C,0.75,2.0,0.6,1.1575000000000002
29.5,C,0.75,2.0,0.6,1.1575000000000002
29.75,C,0.75,2.0,0.6,1.1575000000000002
30.0,C,0.75,2.0,0.6,1.1575000000000002
30.25,C,0.75,2.0,0.6,1.1575000000000002
30.5,C,0.75,2.0,0.6,1.1575000000000002
30.75,C,0.75,2.0,0.6,1.1575000000000002
31.0,C,0.75,2.0,0.6,1.1575000000000002
31.25,C,0.75,2.0,0.6,1.1575000000000002
31.5,C,0.75,2.0,0.6,1.1575000000000002
31.75,C,0.75,2.0,0.6,1.1575000000000002
32.0,C,0.75,2.0,0.6,1.1575000000000002
32.25,C,0.75,2.0,0.6,1.1575000000000002
32.5,C,0.75,2.0,0.6,1.1575000000000002
32.75,C,0.75,2.0,0.6,1.1575000000000002
33.0,C,0.75,2.0,0.6,1.1575000000000002
33.25,C,0.75,2.0,0.6,1.1575000000000002
33.5,C,0.75,2.0,0.6,1.1575000000000002
33.75,C,0.75,2.0,0.6,1.1575000000000002
34.0,C,0.75,2.0,0.6,1.1575000000000002
34.25,C,0.75,0.75,0.6,0.72
34.5,C,0.75,0.75,0.6,0.72
34.75,C,0.75,0.75,0.6,0.72
35.0,C,0.75,0.75,0.6,0.72
35.25,C,0.75,0.75,0.6,0.72
35.5,C,0.75,0.75,0.6,0.72
35.75,C,0.75,0.75,0.6,0.72
36.0,C,0.75,0.75,0.6,0.72
36.25,C,0.75,0.75,0.6,0.72
36.5,C,0.75,0.75,0.6,0.72
36.75,C,0.75,0.75,0.6,0.72
37.0,C,0.75,0.75,0.6,0.72
37.25,C,0.75,0.75,0.6,0.72
37.5,C,0.75,0.75,0.6,0.72
37.75,C,0.75,0.75,0.6,0.72
38.0,C,0.75,0.75,0.6,0.72
38.25,C,0.75,0.75,0.6,0.72
38.5,C,0.75,0.75,0.6,0.72
38.75,C,0.75,0.75,0.6,0.72
39.0,C,0.75,0.75,0.6,0.72
39.25,C,0.75,0.75,0.6,0.72
39.5,C,0.75,0.75,0.6,0.72
39.75,C,0.75,0.75,0.6,0.72
40.0,C,0.75,0.75,0.6,0.72
40.25,C,0.75,0.75,0.6,0.72
40.5,C,0.75,0.75,0.6,0.72
40.75,C,0.75,0.75,0.6,0.72
