qservice_mean_kpa,time_year,qu_deterministic_kpa,qu_mc_mean_kpa,cov_qu,FS,sI,pf_U,beta_U,p_service_index_gt_0_045,pf_life,beta_life
250.0,7.5,1694.076381211157,1684.007575439926,0.2161000747321386,6.776305524844628,0.006837921816302998,0.0,8.277034683726225,1.6653345369377348e-16,1.6976420269543269e-12,6.9603088453865904
250.0,8.0,1684.549993533108,1674.884906555545,0.2161564744355653,6.738199974132431,0.006942023828237797,5.551115123125783e-17,8.251320799161364,3.3306690738754696e-16,1.6976420269543269e-12,6.9603088453865904
250.0,8.5,1675.1459239687338,1665.9057278473017,0.2162242986763194,6.700583695874935,0.007046885213426354,1.1102230246251565e-16,8.225482720489948,5.551115123125783e-16,1.6976420269543269e-12,6.9603088453865904
250.0,9.0,1665.865483042889,1657.0697918411486,0.2163023822036995,6.663461932171557,0.0071524801267557675,1.1102230246251565e-16,8.199567031701877,9.43689570931383e-16,1.6976420269543269e-12,6.9603088453865904
250.0,9.5,1656.7097251467294,1648.376618548308,0.2163896091497514,6.626838900586917,0.007258782551906187,1.6653345369377348e-16,8.173617538718627,1.609823385706477e-15,1.6976420269543269e-12,6.9603088453865904
250.0,10.0,1647.6794681262136,1639.8255224522711,0.216484915509801,6.590717872504855,0.0073657663120994905,1.6653345369377348e-16,8.147675252262491,2.7200464103316335e-15,1.6976420269543269e-12,6.9603088453865904
250.0,10.5,1638.7753115513683,1631.4156367484684,0.2165872907066525,6.555101246205473,0.007473405081699889,2.220446049250313e-16,8.121778402752296,4.6074255521944e-15,1.6976420269543269e-12,6.9603088453865904
250.0,11.0,1629.997653753655,1623.145935126076,0.2166957783919804,6.51999061501462,0.00758167239858056,2.7755575615628914e-16,8.095962481242333,7.66053886991358e-15,1.6976420269543269e-12,6.9603088453865904
250.0,11.5,1621.3467077129094,1615.0152513485928,0.216809476616991,6.485386830851637,0.007690541677175505,3.3306690738754696e-16,8.070260301225161,1.2656542480726785e-14,1.6976420269543269e-12,6.9603088453865904
250.0,12.0,1612.822515869803,1607.0222968609507,0.216927537485712,6.451290063479212,0.007799986222140757,4.440892098500626e-16,8.04470207683863,2.070565940925917e-14,1.6976420269543269e-12,6.9603088453865904
250.0,12.5,1604.4249639347377,1599.1656766256644,0.2170491663879637,6.417699855738951,0.007909979242553157,5.551115123125783e-16,8.019315513659631,3.36952687973735e-14,1.6976420269543269e-12,6.9603088453865904
250.0,13.0,1596.1537937593332,1591.4439033682893,0.2171736208948939,6.384615175037333,0.00802049386657886,6.661338147750939e-16,7.9941259088355245,5.434541705540141e-14,1.6976420269543269e-12,6.9603088453865904
250.0,13.5,1588.0086153322386,1583.855410392845,0.217300209387671,6.352034461328954,0.008131503156547568,7.771561172376096e-16,7.969156257805782,8.68749516769185e-14,1.6976420269543269e-12,6.9603088453865904
250.0,14.0,1579.988917956874,1576.3985631106298,0.2174282894792749,6.319955671827496,0.008242980124371838,9.992007221626409e-16,7.944427365306678,1.3772316620475067e-13,1.6976420269543269e-12,6.9603088453865904
250.0,14.5,1572.0940806649403,1569.071669410524,0.2175572662801261,6.2883763226597615,0.008354897747253849,1.1657341758564144e-15,7.919957958736111,2.1660451210436804e-13,1.6976420269543269e-12,6.9603088453865904
250.0,15.0,1564.3233819158936,1561.8729889854428,0.2176865905503332,6.257293527663575,0.008467228983625204,1.4432899320127035e-15,7.895764802290468,3.377298440909726e-13,1.6976420269543269e-12,6.9603088453865904
250.0,15.5,1556.676008629292,1554.8007417175525,0.2178157567744968,6.2267040345171685,0.008579946789268036,1.7208456881689926e-15,7.871862810574292,5.221378884812111e-13,1.6976420269543269e-12,6.9603088453865904
