time_year,scenario,S_chem,S_flow,S_WD,S_env,E_env,eta_eff,qu,FS,beta,pf,pf_life
48.75,E,1.35,1.1,1.5250000000000208,1.2975000000000043,79.5150000000002,0.3223024281075988,834.5219659496631,0.8784441746838559,-0.8834508497482157,0.811503636436204,0.814
49.0,E,1.35,1.1,1.524999999999975,1.297499999999995,79.8393750000002,0.32164871447517346,834.373434590189,0.8782878258844096,-0.8846169639233642,0.8118183729304951,0.814
49.25,E,1.35,1.1,1.525000000000029,1.2975000000000059,80.1637500000002,0.321000911315251,834.2262186834108,0.8781328617720114,-0.8857729553831502,0.8121300569940401,0.814
49.5,E,1.35,1.1,1.5250000000000095,1.297500000000002,80.48812500000021,0.32035896518901125,834.0803069381566,0.8779792704612175,-0.8869189074171809,0.8124387193379556,0.814
49.75,E,1.35,1.1,1.5249999999999944,1.297499999999999,80.81250000000021,0.3197228231407947,833.9356881516348,0.8778270401596157,-0.8880549027273549,0.8127443903571494,0.814
50.0,E,1.35,1.1,1.5250000000000015,1.2975000000000003,81.13687500000022,0.31909243269373405,833.7923512089569,0.8776761591673231,-0.8891810234297732,0.8130471001333693,0.814
0.0,F,0.38,0.42,0.325,0.383,0.0,0.92,944.8336149185893,0.9945616999143045,-0.0701186111499833,0.5279503731974511,0.6480833333333333
0.25,F,0.38,0.42,0.4,0.398,0.097625,0.9181710558482453,944.6150183327923,0.9943315982450445,-0.07163447543930827,0.5285535984454732,0.6480833333333333
0.5,F,0.38,0.42,0.325,0.383,0.19525,0.9163471042885953,944.3960415313709,0.9941010963488115,-0.07315332809265854,0.529157947193173,0.6480833333333333
0.75,F,0.38,0.42,0.25,0.368,0.289125,0.9145979108096024,944.1851255974318,0.993879079576244,-0.07461660248605774,0.5297401179624821,0.6480833333333333
1.0,F,0.38,0.42,0.32499999999999996,0.383,0.383,0.9128533090483602,943.9738737154183,0.9936567091741245,-0.07608253528133926,0.5303232826551435,0.6480833333333333
1.25,F,0.38,0.42,0.4,0.398,0.480625,0.9110438737005164,943.753834775578,0.9934250892374504,-0.07760979265431484,0.5309307737660508,0.6480833333333333
1.5,F,0.38,0.42,0.325,0.383,0.57825,0.9092393776902807,943.5334490817091,0.993193104296536,-0.07913981376348585,0.5315392919992189,0.6480833333333333
1.75,F,0.38,0.42,0.25,0.368,0.6721250000000001,0.9075088423384653,943.3212096297219,0.9929696943470757,-0.08061361767263292,0.5321253819414107,0.6480833333333333
2.0,F,0.38,0.42,0.32499999999999996,0.383,0.7660000000000001,0.9057828497259116,943.1086645827678,0.992745962718703,-0.08208987599981163,0.532712378132771,0.6480833333333333
2.25,F,0.38,0.42,0.4,0.398,0.8636250000000001,0.9039927150873635,942.8873127108374,0.9925129607482499,-0.08362765694120931,0.5333237615524349,0.6480833333333333
2.5,F,0.38,0.42,0.32500000000000007,0.383,0.96125,0.9022074670999765,942.6656462869794,0.9922796276705046,-0.08516798496648337,0.5339360788135477,0.6480833333333333
2.75,F,0.38,0.42,0.25,0.368,1.055125,0.9004953908546391,942.4522053785048,0.992054953030005,-0.0866514974036792,0.5345257346020527,0.6480833333333333
3.0,F,0.38,0.42,0.32499999999999996,0.383,1.149,0.8987878088925134,942.238488082923,0.9918299874557085,-0.08813726752637209,0.5351162117907621,0.6480833333333333
3.25,F,0.38,0.42,0.4,0.398,1.246625,0.8970167690883287,942.0159478207122,0.9915957345481181,-0.08968473342125319,0.5357311259934631,0.6480833333333333
3.5,F,0.38,0.42,0.32500000000000007,0.383,1.3442500000000002,0.8952505638108491,941.7931239906857,0.9913611831480902,-0.0912345374590626,0.536346883771921,0.6480833333333333
3.75,F,0.38,0.42,0.25,0.368,1.438125,0.893556749774185,941.5785990733367,0.9911353674456176,-0.0927269666491273,0.5369397634921147,0.6480833333333333
4.0,F,0.38,0.42,0.32499999999999996,0.383,1.532,0.8918673820815486,941.3638258692528,0.9909092903886871,-0.09422146380367587,0.5375333825149305,0.6480833333333333
4.25,F,0.38,0.42,0.4,0.398,1.629625,0.8901152334328021,941.140217039312,0.99067391267296,-0.09577780591513654,0.5381514776884246,0.6480833333333333
4.5,F,0.38,0.42,0.32500000000000007,0.383,1.7272500000000002,0.8883678677423005,940.916354447858,0.9904382678398506,-0.09733628468530658,0.5387703291088127,0.6480833333333333
4.75,F,0.38,0.42,0.25,0.368,1.821125,0.8866921211167552,940.7008585074882,0.9902114300078823,-0.0988368671005971,0.5393661019612093,0.6480833333333333
5.0,F,0.38,0.42,0.3249999999999999,0.383,1.915,0.8850207734074069,940.4851413098231,0.989984359273498,-0.10033933453968007,0.5399625346990296,0.6480833333333333
5.25,F,0.38,0.42,0.4,0.398,2.012625,0.8832873144077558,940.2605791711873,0.989747978074934,-0.10190377302328692,0.5405834724417967,0.6480833333333333
5.5,F,0.38,0.42,0.32500000000000034,0.38300000000000006,2.1102499999999997,0.8815585873479549,940.0357919384282,0.9895113599351876,-0.1034701538925831,0.5412050819640928,0.6480833333333333
5.75,F,0.38,0.42,0.25,0.368,2.204125,0.8799007154138215,939.8194336464592,0.9892836143646939,-0.10497815332253166,0.5418034279787987,0.6480833333333333
6.0,F,0.38,0.42,0.3249999999999999,0.383,2.298,0.8782471954739529,939.6028800910876,0.9890556632537765,-0.1064878613929511,0.542402357073748,0.6480833333333333
6.25,F,0.38,0.42,0.4,0.398,2.395625,0.8765322267664627,939.3774754900456,0.9888183952526797,-0.10805964434633329,0.5430258101035113,0.6480833333333333
6.5,F,0.38,0.42,0.32499999999999984,0.383,2.4932499999999997,0.8748219395246263,939.1518733610116,0.9885809193273806,-0.10963318238676753,0.5436498532343358,0.6480833333333333
6.75,F,0.38,0.42,0.25,0.368,2.587125,0.873181751617882,938.9347572170524,0.9883523760179499,-0.11114788904051594,0.5442504629959264,0.6480833333333333
