lambda_per_year,c_b0_kpa,H_over_B,q_service_kpa,eta_50yr,q_u_50yr_kpa,FS_50yr,serviceability_index_50yr,safe_ultimate_FS_ge_1_5,safe_service_index_le_0_045
0.012,30,1.25,650,0.6390493088752212,1770.279537563783,2.7235069808673584,0.0193959812699615,1,1
0.012,30,1.25,800,0.6390493088752212,1770.279537563783,2.212849421954729,0.023871976947644924,1,1
0.012,30,1.25,950,0.6390493088752212,1770.279537563783,1.863452144803982,0.02834797262532835,1,1
0.012,30,1.25,1100,0.6390493088752212,1770.279537563783,1.6093450341488935,0.03282396830301177,1,1
0.012,30,1.75,650,0.6390493088752212,1853.4974272506015,2.8515345034624637,0.01766893004446607,1,1
0.012,30,1.75,800,0.6390493088752212,1853.4974272506015,2.316871784063252,0.021746375439342856,1,1
0.012,30,1.75,950,0.6390493088752212,1853.4974272506015,1.9510499234216858,0.02582382083421964,1,1
0.012,30,1.75,1100,0.6390493088752212,1853.4974272506015,1.6849976611369104,0.02990126622909643,1,1
0.025,10,0.35,650,0.4292038374881521,1090.8726872614332,1.6782656727098972,0.05801672825047938,1,0
0.025,10,0.35,800,0.4292038374881521,1090.8726872614332,1.3635908590767913,0.07140520400059,0,0
0.025,10,0.35,950,0.4292038374881521,1090.8726872614332,1.1482870392225613,0.08479367975070062,0,0
0.025,10,0.35,1100,0.4292038374881521,1090.8726872614332,0.9917024429649393,0.09818215550081125,0,0
0.025,10,0.75,650,0.4292038374881521,1177.9845587246132,1.812283936499405,0.0424152092401325,1,1
0.025,10,0.75,800,0.4292038374881521,1177.9845587246132,1.4724806984057666,0.05220333444939385,0,0
0.025,10,0.75,950,0.4292038374881521,1177.9845587246132,1.2399837460259087,0.0619914596586552,0,0
0.025,10,0.75,1100,0.4292038374881521,1177.9845587246132,1.070895053386012,0.07177958486791655,0,0
0.025,10,1.25,650,0.4292038374881521,1235.6743258922618,1.9010374244496335,0.03618180501872107,1,1
0.025,10,1.25,800,0.4292038374881521,1235.6743258922618,1.5445929073653273,0.04453145233073363,1,1
0.025,10,1.25,950,0.4292038374881521,1235.6743258922618,1.3007098167286966,0.052881099642746184,0,0
